	H1.1	H10.1	H11.1	H12.1	H15.1	H16.1	H17.1	H19.1	H20.1	H21.1	H23.1	H25.1	H26.1	H30.1	H31.1	H32.1	H33.1	H34.1	H36.1	H38.1	H39.1	H4.1	H40.1	H41.1	H42.1	H47.1	H5.1	H7.1	H8.1	H9.1	H1.2	H10.2	H11.2	H12.2	H15.2	H16.2	H17.2	H19.2	H20.2	H21.2	H23.2	H25.2	H26.2	H30.2	H31.2	H32.2	H33.2	H34.2	H36.2	H38.2	H39.2	H4.2	H40.2	H41.2	H42.2	H47.2	H5.2	H7.2	H8.2	H9.2	G1.1	G10.1	G11.1	G12.1	G13.1	G14.1	G15.1	G16.1	G17.1	G19.1	G2.1	G20.1	G21.1	G22.1	G23.1	G25.1	G26.1	G27.1	G3.1	G32.1	G33.1	G4.1	G5.1	G6.1	G7.1	G8.1	G9.1	G1.2	G10.2	G11.2	G12.2	G13.2	G14.2	G15.2	G16.2	G17.2	G19.2	G2.2	G20.2	G21.2	G22.2	G23.2	G25.2	G26.2	G27.2	G3.2	G32.2	G33.2	G4.2	G5.2	G6.2	G7.2	G8.2	G9.2
H1.1	0.0	0.19541939221986707	0.10966559949776211	0.15300296457555693	0.16858932943324884	0.16313739042856298	0.26380498388105517	0.17561534031467282	0.21337036476472038	0.21518979387711	0.21497552206029402	0.37121209355186385	0.2533933667219232	0.22231310086856051	0.42648163594937716	0.26436250037813175	0.22394731820862213	0.2787940944641215	0.38255829280969067	0.25581598559747953	0.17846752222333248	0.31430976263425986	0.1669355425718453	0.16615147111205514	0.2039586836104172	0.1895544096093235	0.372985675146445	0.37919693548805494	0.2045771891719378	0.338094809808958	0.1994180664158255	0.1545270423862494	0.1222705233815529	0.19467221293620304	0.1670230763034375	0.18108151986146007	0.23363438159197836	0.14841102777133697	0.2632585622777189	0.19954973951049626	0.6034340577457612	0.20028787431678202	0.2990190367722356	0.2128590626722033	0.364147482370638	0.18962175542337645	0.19876000073653602	0.24651096771441153	0.2648370474349359	0.2174867223516583	0.1774073530963497	0.3830623089007537	0.229707244450318	0.17750409439334708	0.148536626583799	0.13046941824388897	0.3789744743811613	0.22650836624053128	0.1854902791784863	0.1683040531959324	0.18490530016060885	0.20953034788793312	0.30043641405030724	0.18118855840460854	0.18869591400653016	0.3147463016445324	0.15979770859188988	0.19338169188671528	0.22568185975360108	0.2749902767075459	0.2385039658213869	0.15293867720772247	0.18177616354152112	0.22200899606081226	0.37149806559448656	0.4473747108968497	0.22652482988655234	0.5140133891244012	0.18483837584083215	0.1610434752931318	0.24897422490156135	0.14837682918151607	0.15352585134832666	0.17832910830818033	0.19615899394679853	0.17328098075001813	0.17999493606622546	0.18688598999824238	0.16511189059923428	0.30200916871604816	0.15350921829137545	0.16214977195065286	0.5029547315220869	0.17893311951947344	0.172650030597365	0.1971827093509402	0.5284439793943535	0.26995570699263893	0.15043674521468645	0.18896435800810982	0.29358993991567933	0.4008896717926233	0.47346273897046515	0.2793197055717323	0.4304094847088245	0.18854018405250467	0.1798771388526876	0.21767901948288934	0.15230849701898658	0.17398854104121053	0.2506830741495996	0.14454966467089475	0.17310225934117554	0.2305035805331956
H10.1	0.19541939221986707	0.0	0.1677153295974452	0.17730163104460459	0.15482000848141614	0.22034006184413232	0.27645480669581174	0.16543559202195798	0.21247846847548896	0.19278845483088333	0.22536069965718886	0.37038701127579843	0.21499896507637864	0.26463730942484803	0.43306582230379004	0.2580362573481821	0.16250378762646767	0.25405139368427704	0.385306361646607	0.2605046085485327	0.15538627744018238	0.3087716775745367	0.1594359520902712	0.17973871119335116	0.18569606692928745	0.16862963606964687	0.37215552654157863	0.3760887291732875	0.24736003046149319	0.3241958170981223	0.2372907417804257	0.11079805838029892	0.18455885875506792	0.21945140671230598	0.2020023980375595	0.17608777705491574	0.2168793304096807	0.15401391880264	0.2598126352582752	0.17803408185029448	0.5975682518464894	0.19117840654717957	0.23866824738437692	0.24961875631423894	0.38704674021769847	0.18371838554223116	0.19543089543019873	0.2489538067557924	0.2337022665176942	0.2594934695075288	0.15153092404930782	0.3771460152690546	0.2123413208289986	0.1861917942187874	0.15676915553594947	0.19271396477361935	0.37200670720194184	0.16371939531370755	0.26708746006631484	0.20188701208828147	0.22633978054256618	0.27698040411494684	0.2803999022844874	0.1747231684964406	0.21050443003204292	0.34025123246278743	0.17117531454199664	0.1841807299406492	0.2179882951307635	0.2699737586117997	0.21027674087558812	0.16720751654328575	0.24940729978807735	0.1773947535863189	0.32402147250955926	0.4444795715799421	0.24642076974393623	0.5101815608612463	0.22634816991295076	0.219067309145414	0.28253794307543034	0.24861422554741458	0.16407981450648113	0.202646713499521	0.19164572429967022	0.17193018074118774	0.21306617923237425	0.1722575326091701	0.24248292416220243	0.34978520457331513	0.16475706003346466	0.1966801285201189	0.5213698991729067	0.16579158669925934	0.19864422261416834	0.28922607305950154	0.517168940444904	0.22116007468468282	0.1939094087441856	0.2936985723805	0.23607912669251951	0.32288746195463547	0.4632479629715262	0.291545863188949	0.4289749667564795	0.18234090104759196	0.17559755916753148	0.2288756732817817	0.18999011543821426	0.1592026232295926	0.20837901158593705	0.1611917488270107	0.21575844393544164	0.2175605693514769
H11.1	0.10966559949776211	0.1677153295974452	0.0	0.15722344473872382	0.131424634226801	0.1676015127488557	0.25784376509489804	0.16263751950533245	0.1895177505793144	0.18761509596055434	0.19742114409502332	0.3440578867837901	0.22805814550766484	0.21633414639855283	0.3989652092666088	0.2551013187631426	0.1807349427975707	0.280119769170293	0.3583716921686788	0.22641276920174	0.16350455051248086	0.2947380946495836	0.15255845693217446	0.14742383689210795	0.18754292289111646	0.17449375072783588	0.3581430854665987	0.3529716252240458	0.21020762330858264	0.31166404856321905	0.19329364451712291	0.15349010817519082	0.11081680025118484	0.18688285174239808	0.14941255964964936	0.17217314578794998	0.2195991972666311	0.1351561476548904	0.24220237459691796	0.1785477413873517	0.6010695601115433	0.16573084910801908	0.27729853178631025	0.20183459767169332	0.3494555692882443	0.1920046892121973	0.17449739057956007	0.24150436804178196	0.22334177251673556	0.19857858578180884	0.16498718790974382	0.361483684170815	0.21171315564719892	0.1809485187336636	0.12974854462614419	0.11209607033135992	0.36187890705871273	0.20119081754006934	0.19068587644296423	0.17479550465482735	0.19368606762612092	0.21561573780413273	0.28027738948463915	0.18147586427849108	0.17800608779396307	0.2978040716482782	0.14167434963993886	0.17517267385233165	0.2157260283438743	0.24771363426728205	0.20673145781738328	0.14560808787694782	0.16845378865051094	0.18899548885248613	0.32484552933872146	0.42357939642130865	0.22384929020365987	0.489609403516955	0.18416781241407407	0.1502101973677225	0.2234215722995112	0.1799404782642969	0.15755364872821412	0.16200456198738056	0.17668015960487593	0.1595864362416282	0.16378074475794235	0.17394949754173136	0.17666900191705945	0.31739485342177515	0.15378323639790126	0.15002331204550823	0.4844656890467859	0.15468697614328714	0.15427706799923235	0.21770408306202452	0.5044186856170555	0.23623852863807035	0.1250856012372214	0.201483397304015	0.24304994959186288	0.363570131344898	0.4488528653108971	0.28064359810319567	0.40071533281853733	0.16849315012002264	0.13519285011288706	0.19496513517071645	0.15273820682992206	0.15676558867006649	0.2175584263505646	0.12749833580793793	0.17816856422037017	0.21228214240958282
H12.1	0.15300296457555693	0.17730163104460459	0.15722344473872382	0.0	0.16375058244343316	0.19341421463441355	0.2553132910061197	0.1911351809067102	0.21415093301963736	0.21998592902447434	0.21253083174915785	0.3720948963860233	0.20939519047592173	0.2746513641365064	0.4336156281758932	0.2112891700890014	0.1876600950843868	0.249274841098658	0.38726947511235116	0.27743368119993	0.16370164158498282	0.3376021110826337	0.16403808418425453	0.20973973235688223	0.17858691611160313	0.18191369950543446	0.3669508598791022	0.3955090106228102	0.18995289030349966	0.3259475276143726	0.23947873755167143	0.15726708627613717	0.1347708220629484	0.16228116554763775	0.1731839634043856	0.1934780597677631	0.20120955783910197	0.14013317743958692	0.2727615446464575	0.17420549142776734	0.6024463067839777	0.1871316171943944	0.26157979728877	0.2620216893836496	0.38305207583843204	0.15994074489052662	0.1391757034592948	0.2275170465111971	0.2472648677084133	0.26066997248363366	0.14625467690340893	0.38230115634168566	0.22632233426043233	0.1496205129759665	0.16635453200102804	0.19052083411976045	0.3760263607671039	0.21299070687574181	0.23395149664035184	0.1820711201112261	0.12798263684914907	0.2271594903968059	0.288108358197495	0.15065927664979298	0.22494397970570368	0.3418320871932693	0.172483014032941	0.2233339215277076	0.17932276310566084	0.29136480215017413	0.24729675268061566	0.1607099484641862	0.22664807833993972	0.17051739756977574	0.3594591341018936	0.4300406672465811	0.1692214257510493	0.5203625956652524	0.23592553279588516	0.16788005439033055	0.27068302721602827	0.22867740198992215	0.13986579471997473	0.1635983051998598	0.1797519768589462	0.10529116436817554	0.21352450233875767	0.14506389724223676	0.23548119077060686	0.3408787748315225	0.13831213147644233	0.1808350976674369	0.5034186305945626	0.1738606837789713	0.20715898319117432	0.25548692502333703	0.5240455393828592	0.2553673603722834	0.16352363247175927	0.25823446759162644	0.2334111777131012	0.38151144434677214	0.4647891085752323	0.2376274378588911	0.437006113408126	0.18049711266001525	0.14889312071659572	0.18419441724794786	0.16836469904050821	0.12317246030073156	0.2350580453110634	0.1538321056680412	0.11151253937101378	0.22955477150197937
H15.1	0.16858932943324884	0.15482000848141614	0.131424634226801	0.16375058244343316	0.0	0.22006232757442934	0.2558860905704923	0.13848522357490042	0.16775177382917875	0.1618096239478536	0.2031212522650871	0.36444208231563746	0.21104796758158983	0.240643933707139	0.4209664895937186	0.2505353124983263	0.15562855767365413	0.23464531468197872	0.37059286853327245	0.21268950175158766	0.14293405223409159	0.27780364103128435	0.15319379053028254	0.14391210235632593	0.1696042167123906	0.17827419653636348	0.3666482123924512	0.3728320687299606	0.22787618024698553	0.3244933241666913	0.21114483665917952	0.1872080315892287	0.16497593037705266	0.1891366439376469	0.14186726166382105	0.16208414461875215	0.2136891383989373	0.13830148980639975	0.20054666116475608	0.14954685517336327	0.5964787108251904	0.1847179637894376	0.24714526137401607	0.20903902279778178	0.37709255847762196	0.19653501121593775	0.1766836836131263	0.2209956861113815	0.20612017034160568	0.2232505889891506	0.14527929162642325	0.3648661731306975	0.19305401167681893	0.19055008391991338	0.14429372646888455	0.1840061906287044	0.36629441846064903	0.16831276366099612	0.23642492536675777	0.21406146027457104	0.22407858367239963	0.2564461947022627	0.25528152889171385	0.17505768466800756	0.19636815092865625	0.32339031044299893	0.16343853588221718	0.168566288985865	0.21061794004091347	0.2574056518953679	0.1799112225048424	0.14748524729731605	0.21266264830394205	0.17302299766989815	0.2845053470633952	0.44280284428847	0.20560498071755473	0.5023626177508905	0.2186867594431966	0.22180094889836027	0.22963251590744166	0.22982207428815513	0.18497112088559636	0.17667723943107713	0.16072363489501865	0.13972640417986587	0.18230749225558837	0.17524709127951868	0.23665695043095633	0.33545024082004526	0.19121829987778916	0.18445393884022815	0.5079322243496094	0.14596439588891058	0.18286329730611842	0.2859858833745192	0.5215919637384486	0.18572130900167	0.16049353209487086	0.27113894852046233	0.21096183623056555	0.3224823547997825	0.4630723178015987	0.2614349467001737	0.42006715054713145	0.1781254487501531	0.16497327425153394	0.19439243726691788	0.18930325362236133	0.16207400937091201	0.18023067909161716	0.16517267112331105	0.20819014465927368	0.19824460139296085
H16.1	0.16313739042856298	0.22034006184413232	0.1676015127488557	0.19341421463441355	0.22006232757442934	0.0	0.23874524522435012	0.20546452873026652	0.18387078277086746	0.27226556671453517	0.2366867382734885	0.3968234188647279	0.2363681319391806	0.21946071494098787	0.4512284296057043	0.2099733886738216	0.22271104969896832	0.1432913532913913	0.4100139706209471	0.21549341312316123	0.23070947163294722	0.34651384498844884	0.19285375373778157	0.209151405205027	0.2012462600084675	0.21710054145185587	0.4036511479923185	0.4110914473911896	0.20660394586229053	0.36168519897312845	0.1975495233466853	0.17499612127853778	0.1658248185328867	0.23793117321630927	0.1827964123408819	0.20813863609160654	0.2494052982236145	0.20036345709597783	0.25716625052504677	0.25474766136767674	0.6149032030382294	0.22629901063240696	0.26138130050666075	0.2180354845283197	0.3945782826263126	0.16107304386454876	0.19854532759017432	0.1580005433810088	0.3019059217500184	0.16480794042966054	0.22796778774983184	0.40818211789818976	0.22626399507893302	0.20357724630019	0.2134776649623518	0.18571802697203946	0.40935499964949684	0.24878843204445045	0.17786887574201635	0.21186402906958568	0.164589087844961	0.17396912072390167	0.3156544244645196	0.22315884001759925	0.19510763438143475	0.360991666373446	0.2095487577592983	0.22878909712460002	0.25226426901369087	0.31219646843012905	0.22186996492298547	0.20170673737386677	0.17863370747405796	0.22976499129411915	0.34579093603032923	0.46190349351400994	0.26136246785898876	0.5288047603928788	0.1390069504985074	0.1544506244226455	0.18790480216233424	0.19409986796176118	0.18927701487875653	0.14995830109365493	0.19345015823271938	0.20684327801175845	0.16227226206915754	0.19831160267261064	0.16434500222490744	0.310967359813426	0.16111676578343415	0.15156040973546817	0.5148296530976517	0.2282334139423485	0.17356690872924044	0.17102905130989846	0.53158994177859	0.3030293430974636	0.195660586536836	0.17490093955490402	0.2860896763318048	0.3929599297525941	0.4901110343649022	0.2691882452484513	0.44650974363865464	0.19386564159648584	0.19828676669596912	0.18604994754520446	0.17325217146283042	0.20722130100347433	0.22054749975386012	0.17938346761190768	0.15734037344586335	0.18057235303598573
H17.1	0.26380498388105517	0.27645480669581174	0.25784376509489804	0.2553132910061197	0.2558860905704923	0.23874524522435012	0.0	0.2598638696042279	0.2348753950932119	0.3031357845242399	0.27287479239308077	0.4248061393876822	0.20882947525640058	0.31970166271936695	0.4813838483298953	0.23682738813942583	0.26427022081932544	0.2731474855586541	0.4308903282490662	0.29898632742577064	0.2793704502661954	0.36197402965583625	0.2362534192367847	0.26556467332488887	0.19631222259718328	0.28368404720420043	0.41407511514315387	0.43478897214888457	0.15763753111526319	0.3684011534371196	0.24019481618810257	0.27565312238120104	0.2606802506188114	0.2374840041800123	0.2840844004446043	0.24736465200679728	0.16506495172370822	0.27598908654314597	0.2540194415041443	0.2888331423498312	0.6172254387445225	0.2493546956154516	0.24214154058314868	0.20587661621717554	0.4413531118351792	0.21672886142805253	0.2569687360195242	0.26615977802527896	0.3106108435382906	0.2888612302796604	0.2882897531286762	0.4200963436607178	0.21334447121984093	0.2607026266732541	0.2629362170026026	0.2766113996604549	0.4250991064614143	0.2874167332292597	0.2146082541467165	0.29362072436379116	0.24943609454481142	0.21342273813519452	0.3066700984332346	0.27392834257448073	0.28646067961642235	0.3939297925258184	0.2686584978739013	0.29203389434712	0.22754141729479874	0.32965664106074666	0.24388020320780124	0.25788972554725714	0.3041695552610376	0.25192445600110885	0.30258786793228704	0.44742179782384506	0.24514246145954538	0.5493188997485647	0.258035076886851	0.27268465565857675	0.2293642694545506	0.30414306605456887	0.2455955768566667	0.2193175215209052	0.20450678564055633	0.21377189951796247	0.27376905179862304	0.2561510124216636	0.29806660110063515	0.35308899062932836	0.25981454572673507	0.2377057087243678	0.5167521714502292	0.25952735993133014	0.2868970242462501	0.33312447469023554	0.5404833230805408	0.3203513888901501	0.2631061067707075	0.3215306547204416	0.2891681249140077	0.4046469139594092	0.4892438387509723	0.19615662802984243	0.4637074163782186	0.24623875540192994	0.2745757533104427	0.22277822230199487	0.24156327368859348	0.24636131012342014	0.2153770953472721	0.26039872703297456	0.22752053787804175	0.21984252630003415
H19.1	0.17561534031467282	0.16543559202195798	0.16263751950533245	0.1911351809067102	0.13848522357490042	0.20546452873026652	0.2598638696042279	0.0	0.18027628147434174	0.21055491313449612	0.21815919282109963	0.37905689535056786	0.2244632487004063	0.23683810023554838	0.4379263140481581	0.24345116039646625	0.163446552370132	0.21836409479402277	0.3860047022822028	0.2302420069058846	0.1528505283241815	0.3010820621121496	0.1491867305496572	0.14510938547080132	0.17451675778172426	0.20348356821502517	0.3821105235448992	0.384324822484314	0.2459561052392513	0.3401769124192001	0.1917976485574842	0.17877460400518846	0.17150944653797573	0.2202432230904274	0.19316352424192068	0.16875453593914078	0.23240404804738088	0.13863117298764732	0.21357085413972798	0.18539409381619018	0.5985344744626172	0.20530421139690838	0.24821845393620956	0.22382657782425458	0.3875083488626332	0.17801813168238534	0.19636993006731496	0.21748315806035584	0.23750369577332162	0.22718324697937803	0.11997416786165278	0.3839448017257385	0.19968524726271622	0.20204286352078343	0.16776728811535063	0.19503364442710283	0.38131111416135627	0.17333439329445222	0.24506476588289325	0.20833314203010134	0.2280774582879902	0.2631525424809196	0.28317336676971516	0.14896060211387052	0.1719990157306329	0.34301260913527293	0.16500406125174313	0.18735817520502274	0.22900281632114758	0.2714710818662687	0.1605615474661068	0.13316618637864758	0.21398973839155058	0.18400757595416392	0.3174867851257441	0.45536130676374253	0.23777200929590545	0.5117080823311011	0.21158042283823295	0.2323579005151971	0.2357006775780006	0.23053899751613363	0.17949879614968156	0.18514397749127143	0.1667591208069139	0.18015899948625533	0.20486818697735024	0.18515611836393253	0.22258684810076415	0.3203166368006297	0.1728833867177395	0.17295781459108897	0.5168516227758999	0.1778648330530106	0.19862595780421632	0.2706247298388722	0.5230973492855754	0.21123051204509954	0.18125220679050072	0.26362995527535243	0.25208269357424407	0.36048669381847803	0.4713154506355144	0.2735157408658459	0.4351013749224025	0.17895464910568756	0.19012277384074672	0.21646337637251126	0.1965836959641971	0.18570720138004962	0.2098531897863382	0.17700116861657816	0.2104499403474831	0.185956142535378
H20.1	0.21337036476472038	0.21247846847548896	0.1895177505793144	0.21415093301963736	0.16775177382917875	0.18387078277086746	0.2348753950932119	0.18027628147434174	0.0	0.2195432607118449	0.21805350398007864	0.3934693003839926	0.20576001987576048	0.21989052592148986	0.4463883446962526	0.1926911509552657	0.18949672032979073	0.2104951892981589	0.394832985238955	0.20578628778188926	0.21108032354030942	0.3241759007037901	0.20252234396337923	0.21004553574917428	0.19033237593161045	0.22908542046335123	0.4042007623974101	0.4019369919355198	0.24550027966769747	0.3552583001146889	0.2188869788377828	0.21980678909879883	0.2015176266388674	0.23903260002696247	0.17979565311217405	0.19794613015708484	0.251270512434349	0.20284941704080084	0.15167413612648123	0.23128153345774824	0.6099542289591812	0.22659990428608154	0.19751002825847694	0.19211883128490398	0.40261577142644905	0.19061635182920375	0.20705124846810685	0.21331381723071666	0.25874700360635283	0.21172922461548668	0.21366331428573945	0.40234766814592676	0.19813716584226415	0.24408925527579817	0.21726799567442717	0.23162576066830742	0.40993580105426863	0.23016553550618182	0.23483429481467719	0.2563725302511745	0.2257521695261816	0.24665336614470396	0.29097568306326205	0.23493700240554471	0.20124964829700837	0.35675601989581696	0.22949645120337434	0.22126567618049964	0.2551996998108297	0.3071098334921943	0.1711191755293306	0.21004541561428322	0.22641680824109453	0.20168942434785414	0.24368912680808014	0.449865652608281	0.2440539842750569	0.5151198244174064	0.18896139957438993	0.24112601358910496	0.16799310558991373	0.25555949774302045	0.2341509712553465	0.18380894139932719	0.16173245208432135	0.20125685049560194	0.2027916981277917	0.21353537356695987	0.24861301090761748	0.33795890458921624	0.22223090562146983	0.20090844075338682	0.5230890613759297	0.2127546184802183	0.20538436625288173	0.2914551853046441	0.5281482729896393	0.2630974259918799	0.20705771885303126	0.2727428879958763	0.2367211952467947	0.3227634531594889	0.4785442571995506	0.24207978606739033	0.4357164670234221	0.1821003468496497	0.20345530046310306	0.1711083882953198	0.21283048358506432	0.22013097066886433	0.17385791962837022	0.20379822579770748	0.21152048284898942	0.1614644172973098
H21.1	0.21518979387711	0.19278845483088333	0.18761509596055434	0.21998592902447434	0.1618096239478536	0.27226556671453517	0.3031357845242399	0.21055491313449612	0.2195432607118449	0.0	0.24696556994275418	0.3655357757265207	0.24441387438465195	0.27044043394450434	0.4228495759115131	0.2889580636726482	0.1957158355143506	0.3521225120991143	0.37269832412044623	0.2822238437821004	0.18201603695940535	0.288879182157731	0.23375737121959855	0.19242080214902826	0.2165165358675688	0.24563101272695106	0.3804253057846034	0.37590397320878816	0.27737959145619445	0.3305207467266614	0.25740810342332865	0.22601409003055872	0.22777200118484597	0.2366390373206236	0.22262107281227328	0.18177328532151713	0.25028667761030077	0.2148276001563648	0.233649544156718	0.12882068403105118	0.5962702202586614	0.21636525463810938	0.282158093737117	0.22462220692338125	0.38894307070961714	0.2493298293408148	0.2227851715258229	0.31162119079539846	0.2309612518595517	0.28624805225792516	0.1902353320445655	0.37334684686026093	0.26022948585455224	0.2424500475455577	0.16268829352153405	0.23312663857138854	0.3783531943580727	0.21646925740203807	0.29080108503043073	0.2554071912016126	0.2738820608043861	0.31322022061131194	0.2908410133484572	0.2194100885445444	0.24506409434537207	0.31753748706835316	0.22953773929954824	0.18211519682521615	0.23054096947883723	0.2659978230311222	0.2521287205465061	0.20167246604172945	0.27463781522656966	0.19986077342197633	0.30535602396751876	0.43595713205308106	0.25095074445637594	0.5007298202203556	0.26751681064994776	0.2645379963098188	0.28753824226342073	0.2866981939185479	0.23579804266492696	0.2457020893496714	0.21206816643659293	0.20843786052526267	0.24884225433072463	0.2321262680285596	0.2872667981298823	0.3752777063207239	0.2450599921699567	0.2441220075455319	0.5169709382549341	0.20088940497915675	0.23077268346054397	0.33348794991817016	0.5122134539055204	0.24238662551702647	0.21504868794296883	0.32992239858194194	0.22547515738645213	0.31390606740546645	0.4554245634900761	0.29165792825025527	0.4178021957698962	0.21410627064130466	0.1979038497776704	0.22621433884943842	0.22673226615244305	0.20006472723457466	0.2393649326384423	0.2080265552399609	0.26219823862241765	0.26159200632408525
