,PCoA1,PCoA2,names
H1.1,-0.0630665835587899,0.0543411447351457,h(W0)
H10.1,-0.0532428373595518,-0.0337582441388217,h(W0)
H11.1,-0.0441370821332983,0.0281830264014461,h(W0)
H12.1,-0.0622354461087852,-0.0125389636531238,h(W0)
H15.1,-0.0543051288826885,-0.0327413868421288,h(W0)
H16.1,-0.0875772602801922,0.0634472736987954,h(W0)
H17.1,-0.0678571272191415,-0.0471134712347881,h(W0)
H19.1,-0.0651650959002602,-0.0137726849081794,h(W0)
H20.1,-0.0714289739077566,-0.0309935092852312,h(W0)
H21.1,-0.0258017748234338,-0.0597440095739708,h(W0)
H23.1,0.0546820293755357,-0.0442432566069144,h(W0)
H25.1,0.277238292339488,-0.0107384035300979,h(W0)
H26.1,-0.0316426791918135,-0.13597895024647,h(W0)
H30.1,-0.0855363642327352,0.113696703524013,h(W0)
H31.1,0.340761756376646,0.0262100005679375,h(W0)
H32.1,-0.0722674106844954,-0.105866657239947,h(W0)
H33.1,-0.0575602000286645,-0.0753381028573139,h(W0)
H34.1,-0.0898488652921761,0.139150498385562,h(W0)
H36.1,0.293437170791025,0.00561514208859336,h(W0)
H38.1,-0.076085791669264,0.0508845138473832,h(W0)
H39.1,-0.0347652074340702,-0.072528161173466,h(W0)
H4.1,0.149861210410947,-0.041154851501313,h(W0)
H40.1,-0.0717447130432496,-0.0234672601665729,h(W0)
H41.1,-0.0740113570659072,0.0292146431483662,h(W0)
H42.1,-0.0550468967593786,-0.0744252555443479,h(W0)
H47.1,-0.0850524050105904,0.0224419533556388,h(W0)
H5.1,0.271521063932575,-0.0180355426296172,h(W0)
H7.1,0.263776668944944,0.0200238375091436,h(W0)
H8.1,-0.0720795097792974,0.0119801945024623,h(W0)
H9.1,0.22874695409274,-0.0506426487931189,h(W0)
H1.2,-0.0832251448983124,0.0347555049510677,h(W2)
H10.2,-0.0720261086230807,0.0222049400062717,h(W2)
H11.2,-0.0698048520258992,0.0436895600712901,h(W2)
H12.2,0.0186897902325712,-0.0138787364737237,h(W2)
H15.2,-0.0743579179407251,0.0493611524811318,h(W2)
H16.2,-0.0413414445718771,-0.0650964480590154,h(W2)
H17.2,-0.0418210101628088,-0.0586695955002963,h(W2)
H19.2,-0.0597738080022325,-0.0166476422670538,h(W2)
H20.2,-0.0362813580497633,-0.0913115070259321,h(W2)
H21.2,-0.0175662494027832,-0.0683286157146532,h(W2)
H23.2,0.0978162159577641,0.134838091998141,h(W2)
H25.2,0.0230491660327472,-0.0151692350533073,h(W2)
H26.2,-0.0527607847706579,-0.154326062838536,h(W2)
H30.2,-0.0753976802474108,-0.00500938587289028,h(W2)
H31.2,0.283548304424522,0.0573922402098047,h(W2)
H32.2,-0.0798930630674124,-0.0521172736648099,h(W2)
H33.2,-0.0716272745885736,-0.0361186646858541,h(W2)
H34.2,-0.0664838852231353,0.104371622592519,h(W2)
H36.2,0.114099876823296,-0.0948454959516207,h(W2)
H38.2,-0.0889229891890507,0.0967046097281502,h(W2)
